Census Tract,County,Total:,Total:!!White alone,Total:!!Black or African American alone,Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Some other race alone,Total:!!Two or more races:,Total:!!Two or more races:!!Two races including Some other race,"Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
1.03,Santa Barbara,"4,107","3,672",0,67,71,0,30,267,34,233
2.01,Santa Barbara,"2,518","2,449",0,0,40,0,0,29,0,29
2.02,Santa Barbara,"2,263","2,045",25,0,130,0,0,63,0,63
3.01,Santa Barbara,"3,110","1,992",24,25,51,0,310,708,537,171
3.02,Santa Barbara,"4,137","3,102",46,48,183,0,580,178,57,121
4,Santa Barbara,"5,449","4,905",0,0,208,0,214,122,14,108
5.01,Santa Barbara,"3,334","2,885",4,0,263,0,3,179,6,173
5.02,Santa Barbara,"5,640","4,946",96,0,186,0,142,270,197,73
6,Santa Barbara,"5,460","4,507",0,15,220,0,509,209,96,113
7,Santa Barbara,"6,452","5,158",28,8,407,0,404,447,23,424
8.01,Santa Barbara,"3,846","2,654",14,156,61,0,777,184,157,27
8.05,Santa Barbara,946,864,10,0,35,0,0,37,10,27
8.06,Santa Barbara,"5,598","3,119",372,0,329,0,957,821,670,151
9,Santa Barbara,"3,616","2,518",87,108,101,0,734,68,0,68
10.01,Santa Barbara,"3,479","2,253",3,19,68,0,401,735,715,20
10.02,Santa Barbara,"3,435","2,106",311,0,103,0,833,82,0,82
11.01,Santa Barbara,"4,975","3,345",0,22,122,0,379,"1,107",829,278
11.02,Santa Barbara,"4,630","3,174",71,122,60,0,726,477,449,28
12.03,Santa Barbara,"3,693","3,081",75,9,90,50,352,36,0,36
12.06,Santa Barbara,"4,138","2,731",20,43,212,0,986,146,37,109
12.08,Santa Barbara,"4,087","3,016",239,33,132,0,430,237,128,109
13.06,Santa Barbara,"3,758","3,114",15,17,110,0,192,310,51,259
13.07,Santa Barbara,"3,824","3,380",0,0,75,0,340,29,29,0
13.08,Santa Barbara,"3,575","2,810",0,0,495,0,213,57,39,18
14.03,Santa Barbara,"1,533","1,473",47,0,0,0,13,0,0,0
14.04,Santa Barbara,"1,572","1,377",0,0,18,0,86,91,13,78
15,Santa Barbara,"2,545","2,280",0,0,30,0,32,203,203,0
16.01,Santa Barbara,"6,375","4,026",5,165,121,0,"1,310",748,484,264
16.04,Santa Barbara,"4,360","3,358",0,3,108,0,473,418,294,124
17.04,Santa Barbara,"3,284","2,217",121,6,42,0,723,175,47,128
17.06,Santa Barbara,"4,173","3,846",0,0,31,0,92,204,26,178
18,Santa Barbara,931,847,11,4,23,0,42,4,0,4
19.05,Santa Barbara,"2,807","2,469",21,23,31,0,97,166,139,27
19.07,Santa Barbara,813,713,0,57,2,0,17,24,0,24
19.08,Santa Barbara,"5,335","4,381",1,411,193,0,65,284,5,279
19.09,Santa Barbara,"3,629","3,009",181,39,79,0,175,146,24,122
19.1,Santa Barbara,"2,756","2,631",0,0,36,0,5,84,0,84
19.11,Santa Barbara,"2,011","1,585",41,0,119,82,0,184,37,147
19.12,Santa Barbara,"5,339","4,599",69,14,82,0,398,177,91,86
20.05,Santa Barbara,"5,643","4,706",57,115,110,0,111,544,85,459
20.06,Santa Barbara,"2,700","2,255",23,25,141,0,179,77,42,35
20.08,Santa Barbara,"7,678","5,567",201,140,193,0,138,"1,439",971,468
20.09,Santa Barbara,"3,836","3,229",126,93,35,0,96,257,110,147
20.1,Santa Barbara,"4,180","3,335",146,69,192,0,63,375,146,229
20.11,Santa Barbara,"6,378","4,353",35,22,130,11,631,"1,196",817,379
20.12,Santa Barbara,"2,805","2,261",6,0,223,15,57,243,48,195
20.13,Santa Barbara,"2,636","1,942",100,9,52,0,254,279,145,134
20.14,Santa Barbara,"6,328","4,123",197,51,841,0,397,719,224,495
20.15,Santa Barbara,"3,941","3,447",2,23,134,71,153,111,19,92
21.01,Santa Barbara,"4,134","3,213",22,40,49,0,239,571,406,165
21.02,Santa Barbara,"2,254","1,838",9,8,39,0,276,84,20,64
21.03,Santa Barbara,"5,117","3,679",32,3,107,0,384,912,806,106
22.05,Santa Barbara,"5,280","4,062",0,105,278,0,277,558,511,47
22.06,Santa Barbara,"5,346","3,906",95,2,152,0,214,977,819,158
22.09,Santa Barbara,"4,065","2,688",34,65,190,0,605,483,91,392
22.1,Santa Barbara,"6,668","4,098",274,38,578,0,983,697,526,171
22.11,Santa Barbara,"5,669","4,268",62,0,262,0,224,853,545,308
23.03,Santa Barbara,"6,357","4,358",18,0,179,0,"1,064",738,686,52
23.04,Santa Barbara,"6,623","4,259",8,173,260,0,552,"1,371","1,241",130
23.07,Santa Barbara,"5,272","3,201",0,163,833,0,510,565,485,80
23.08,Santa Barbara,"3,082","2,290",31,0,305,0,251,205,145,60
23.09,Santa Barbara,"3,617","3,062",17,5,59,0,300,174,119,55
23.1,Santa Barbara,"3,283","2,285",0,0,38,0,204,756,678,78
24.05,Santa Barbara,"4,354","3,582",7,52,233,0,454,26,26,0
24.06,Santa Barbara,"3,781","2,138",175,12,29,0,711,716,654,62
24.07,Santa Barbara,"4,594","3,629",10,0,0,0,560,395,384,11
24.08,Santa Barbara,"2,093","1,410",0,39,0,0,221,423,407,16
24.09,Santa Barbara,"8,142","5,477",344,178,456,0,387,"1,300",915,385
24.1,Santa Barbara,"5,786","4,359",51,73,106,0,756,441,325,116
25.03,Santa Barbara,"1,220",862,28,0,46,0,156,128,104,24
25.04,Santa Barbara,"6,502","3,885",18,141,228,79,"1,363",788,734,54
27.03,Santa Barbara,"3,628","2,358",37,19,54,0,667,493,209,284
27.05,Santa Barbara,"4,176","2,318",170,61,157,0,748,722,349,373
27.06,Santa Barbara,"6,339","3,393",135,16,40,0,"1,962",793,580,213
27.07,Santa Barbara,"2,256","1,641",58,25,131,0,206,195,97,98
27.08,Santa Barbara,"2,256","1,496",135,37,35,0,340,213,3,210
27.09,Santa Barbara,"3,737","2,210",117,152,14,0,843,401,96,305
27.1,Santa Barbara,"4,336","2,298",107,264,0,70,573,"1,024",940,84
28.02,Santa Barbara,"7,413","4,090",155,231,696,68,921,"1,252",823,429
28.06,Santa Barbara,"2,623","1,698",34,18,120,0,394,359,229,130
28.08,Santa Barbara,"7,945","5,524",263,143,164,19,"1,033",799,271,528
28.09,Santa Barbara,"5,287","3,678",153,24,251,0,64,"1,117",880,237
29.06,Santa Barbara,"3,920","3,218",117,51,173,0,186,175,117,58
29.07,Santa Barbara,"4,185","3,574",10,0,370,0,44,187,34,153
29.09,Santa Barbara,"5,492","4,305",219,115,327,0,140,386,231,155
29.13,Santa Barbara,"4,274","3,554",3,47,233,0,337,100,0,100
29.14,Santa Barbara,"3,327","2,475",36,8,421,0,163,224,100,124
29.24,Santa Barbara,"6,553","3,849",351,34,"1,342",0,608,369,105,264
29.26,Santa Barbara,"5,659","3,577",385,50,638,0,693,316,49,267
29.32,Santa Barbara,"2,441","1,615",21,4,124,0,162,515,469,46
29.33,Santa Barbara,"5,815","2,485",115,11,"1,852",0,701,651,194,457
29.34,Santa Barbara,"3,607","2,422",151,0,466,0,484,84,19,65
29.35,Santa Barbara,"3,303","2,274",64,9,182,0,450,324,64,260
29.36,Santa Barbara,"3,521","2,546",80,0,437,0,235,223,44,179
29.37,Santa Barbara,"3,163","1,938",121,0,644,0,260,200,50,150
30.01,Santa Barbara,"5,920","3,126",63,87,493,0,955,"1,196","1,027",169
30.04,Santa Barbara,"4,916","3,613",20,0,172,0,816,295,183,112
30.05,Santa Barbara,"4,711","3,365",24,184,214,0,615,309,226,83
30.07,Santa Barbara,"3,462","2,871",0,18,207,0,249,117,12,105
31.02,Santa Barbara,"3,314","2,504",74,17,86,0,335,298,204,94
9800,Santa Barbara,0,0,0,0,0,0,0,0,0,0
9801,Santa Barbara,13,2,3,0,0,0,2,6,2,4
9802,Santa Barbara,"3,646","2,316",399,8,170,14,76,663,19,644
9803,Santa Barbara,"6,971","2,705",100,29,"2,587",0,875,675,291,384
9804,Santa Barbara,"2,989","1,821",389,110,246,49,301,73,24,49
9805,Santa Barbara,19,0,0,0,0,0,0,19,19,0
9900,Santa Barbara,0,0,0,0,0,0,0,0,0,0
5001,Santa Clara,"7,074","2,466",419,42,"1,907",0,"1,453",787,314,473
5002,Santa Clara,"6,285","2,489",328,39,"1,056",0,"1,385",988,289,699
5003,Santa Clara,"3,789","2,328",163,5,639,13,300,341,63,278
5004,Santa Clara,"2,712","1,303",153,18,426,0,551,261,37,224
5005,Santa Clara,"5,732","3,802",164,63,990,0,289,424,171,253
5006,Santa Clara,"5,713","2,841",313,78,"1,252",0,495,734,325,409
5008,Santa Clara,"4,482","2,279",388,0,906,0,418,491,260,231
5009.01,Santa Clara,"4,326","1,489",290,8,"2,083",0,300,156,31,125
5009.02,Santa Clara,"5,064","1,779",380,93,"1,591",62,812,347,97,250
5010,Santa Clara,"5,156","1,828",581,0,"1,002",114,"1,170",461,109,352
5011.01,Santa Clara,"4,329","1,693",134,82,"1,460",23,310,627,193,434
5011.02,Santa Clara,"4,465","1,723",16,0,294,0,"1,447",985,773,212
5012,Santa Clara,"4,099","2,183",104,53,427,35,"1,019",278,171,107
5013,Santa Clara,"4,093","2,196",246,2,878,12,518,241,34,207
5014.01,Santa Clara,"2,793",963,151,17,408,25,911,318,237,81
5014.02,Santa Clara,"3,161","1,336",22,22,227,17,"1,347",190,172,18
5015.01,Santa Clara,"4,335",931,212,117,"1,359",0,"1,502",214,0,214
5015.02,Santa Clara,"4,578","1,433",39,81,642,0,"2,114",269,30,239
5016.01,Santa Clara,"4,181","1,274",64,0,624,32,"1,658",529,182,347
5016.02,Santa Clara,"3,792","1,344",116,67,595,0,"1,518",152,66,86
5017,Santa Clara,"4,831","1,032",41,109,150,6,"2,972",521,324,197
5018,Santa Clara,"4,934","3,410",86,95,412,0,555,376,235,141
5019.01,Santa Clara,"2,196","1,245",55,13,587,0,59,237,163,74
5019.02,Santa Clara,"3,236","1,372",133,35,917,0,445,334,218,116
5020.01,Santa Clara,"5,089","2,561",22,8,871,32,"1,171",424,120,304
5020.02,Santa Clara,"5,963","3,005",163,5,363,0,"1,947",480,338,142
5021.01,Santa Clara,"5,309","2,788",193,108,"1,232",182,246,560,225,335
5021.03,Santa Clara,"4,675","2,004",605,12,661,0,871,522,70,452
5021.04,Santa Clara,"2,408","1,434",49,0,243,62,378,242,148,94
5022.02,Santa Clara,"2,802","1,793",144,15,411,0,191,248,143,105
5022.03,Santa Clara,"4,214","2,114",181,0,"1,064",0,515,340,55,285
5022.04,Santa Clara,"3,438","1,698",257,0,699,0,559,225,40,185
5023.01,Santa Clara,"3,384","2,460",95,41,259,14,192,323,55,268
5023.02,Santa Clara,"3,524","2,137",74,7,263,0,315,728,423,305
5024,Santa Clara,"7,048","5,350",46,32,710,0,473,437,161,276
5025,Santa Clara,"6,760","4,685",199,0,676,0,281,919,454,465
5026.01,Santa Clara,"3,281","2,182",10,0,291,2,34,762,571,191
5026.03,Santa Clara,"2,858","2,223",15,5,325,0,95,195,67,128
5026.04,Santa Clara,"4,109","2,956",162,76,672,0,44,199,47,152
5027.01,Santa Clara,"5,665","3,027",294,104,"1,358",10,356,516,80,436
5027.03,Santa Clara,"3,811","1,796",81,0,"1,316",162,123,333,20,313
5027.04,Santa Clara,"4,042","2,325",184,0,"1,159",0,24,350,0,350
5028,Santa Clara,"4,442","3,011",34,0,909,13,19,456,105,351
5029.01,Santa Clara,"6,210","4,223",71,65,"1,182",0,215,454,315,139
5029.02,Santa Clara,"9,023","6,654",51,87,"1,825",0,53,353,121,232
5029.03,Santa Clara,"5,220","3,642",11,65,878,0,118,506,98,408
5029.06,Santa Clara,"4,912","2,840",140,0,"1,404",139,185,204,53,151
5029.07,Santa Clara,"3,960","2,503",15,0,885,33,50,474,83,391
5029.08,Santa Clara,"6,617","4,867",0,47,"1,095",0,162,446,152,294
5029.09,Santa Clara,"5,170","3,048",100,0,"1,117",11,283,611,246,365
5029.1,Santa Clara,"3,835","2,119",121,118,822,0,297,358,11,347
5030.01,Santa Clara,"4,297","3,176",95,9,444,0,75,498,122,376
5030.02,Santa Clara,"3,747","2,405",49,1,533,0,82,677,401,276
5030.03,Santa Clara,"5,259","3,659",27,0,774,64,48,687,161,526
5031.05,Santa Clara,"2,466",386,0,0,"1,418",0,542,120,43,77
5031.1,Santa Clara,"4,160",879,70,38,"1,076",44,"1,673",380,249,131
5031.11,Santa Clara,"5,979","1,103",1,97,"2,575",9,"1,716",478,471,7
5031.12,Santa Clara,"3,783","1,169",312,14,801,0,"1,266",221,152,69
5031.13,Santa Clara,"4,897","1,705",152,11,400,0,"2,358",271,152,119
5031.16,Santa Clara,"6,831","3,285",500,20,"2,294",0,370,362,62,300
5031.17,Santa Clara,"2,972",578,49,88,"1,368",16,799,74,72,2
5031.18,Santa Clara,"4,551","1,344",138,13,"2,027",0,948,81,0,81
5031.21,Santa Clara,"4,771","1,926",154,30,"1,038",0,"1,082",541,308,233
5031.22,Santa Clara,"3,588",439,180,38,"1,912",0,813,206,140,66
5031.23,Santa Clara,"3,834","1,871",175,0,685,133,542,428,183,245
5031.24,Santa Clara,"5,577","1,525",876,0,"2,413",62,581,120,10,110
5031.25,Santa Clara,"3,435","1,777",61,17,"1,189",0,185,206,39,167
5031.26,Santa Clara,"3,421","1,639",25,0,"1,381",0,92,284,136,148
5031.27,Santa Clara,"4,012","1,836",58,0,"1,653",19,96,350,128,222
5032.07,Santa Clara,"3,872",620,186,73,"2,758",0,134,101,58,43
5032.08,Santa Clara,"3,858","1,640",32,5,"1,228",0,583,370,201,169
5032.1,Santa Clara,"4,546","1,070",49,8,"2,173",30,861,355,211,144
5032.11,Santa Clara,"4,473",893,153,3,"2,746",120,268,290,281,9
5032.12,Santa Clara,"4,596",737,233,2,"3,027",0,463,134,13,121
5032.13,Santa Clara,"5,351",905,19,32,"3,319",0,624,452,276,176
5032.17,Santa Clara,"4,196","2,120",86,0,"1,060",11,524,395,294,101
5032.18,Santa Clara,"5,002","1,797",44,24,"1,502",16,916,703,647,56
5032.19,Santa Clara,"2,989",711,137,7,983,0,551,600,549,51
5032.2,Santa Clara,"4,543","1,574",185,18,"1,043",0,"1,181",542,325,217
5032.21,Santa Clara,"2,523",232,0,0,"2,090",0,201,0,0,0
5032.22,Santa Clara,"6,121",463,0,0,"2,000",306,"2,244","1,108",681,427
5033.04,Santa Clara,"7,373","1,705",327,169,"3,926",34,899,313,137,176
5033.05,Santa Clara,"5,578","1,499",78,0,"3,012",86,645,258,229,29
5033.06,Santa Clara,"4,100","1,151",37,24,"1,783",0,"1,021",84,22,62
5033.12,Santa Clara,"3,926","1,127",386,30,"1,264",24,946,149,61,88
5033.13,Santa Clara,"4,421","1,026",74,14,"2,655",234,180,238,162,76
5033.15,Santa Clara,"9,243","2,376",49,29,"4,879",41,"1,485",384,286,98
5033.21,Santa Clara,"4,732",565,47,0,"3,915",0,99,106,50,56
5033.22,Santa Clara,"4,990","1,280",255,0,"2,496",27,837,95,72,23
5033.23,Santa Clara,"4,051","1,017",103,24,"2,087",0,762,58,6,52
5033.24,Santa Clara,"3,583",603,80,1,"2,468",5,103,323,118,205
5033.25,Santa Clara,"4,625",690,158,0,"3,132",0,393,252,212,40
5033.26,Santa Clara,"7,743","1,438",10,22,"5,736",47,216,274,52,222
5033.27,Santa Clara,"4,849",937,163,20,"2,752",0,501,476,52,424
5033.29,Santa Clara,"3,855",481,72,0,"3,005",11,104,182,42,140
5033.3,Santa Clara,"7,163",846,364,46,"5,756",0,6,145,58,87
5033.31,Santa Clara,"3,748","1,769",39,0,"1,592",0,184,164,32,132
5033.32,Santa Clara,"6,528","3,766",69,35,"1,596",33,276,753,412,341
5033.33,Santa Clara,"4,717","1,618",392,0,"2,209",0,249,249,62,187
5033.36,Santa Clara,"3,444",578,98,0,"2,092",0,433,243,41,202
5033.37,Santa Clara,"4,186",487,205,172,"2,921",15,217,169,0,169
5033.38,Santa Clara,"4,381","1,283",79,0,"2,779",0,0,240,203,37
5033.39,Santa Clara,"4,011",946,74,8,"2,404",23,227,329,28,301
5034.01,Santa Clara,"4,741","1,241",73,6,702,375,"1,996",348,182,166
5034.02,Santa Clara,"5,114","1,480",78,16,"1,297",21,"1,619",603,272,331
5035.04,Santa Clara,"6,603","1,209",51,0,"1,565",98,"2,477","1,203",856,347
5035.06,Santa Clara,"7,011","1,621",62,39,"1,825",0,"3,149",315,178,137
5035.07,Santa Clara,"2,558",678,0,5,902,0,910,63,34,29
5035.08,Santa Clara,"5,896","1,742",143,33,973,211,"2,367",427,82,345
5035.09,Santa Clara,"4,763","1,008",62,27,"1,439",0,"1,476",751,603,148
5035.1,Santa Clara,"5,345","1,607",63,7,"1,079",0,"2,362",227,179,48
5035.11,Santa Clara,"3,522","1,124",42,6,"1,463",0,512,375,284,91
5036.01,Santa Clara,"3,451","1,147",55,76,825,0,938,410,270,140
5036.02,Santa Clara,"5,444",895,130,0,"1,480",0,"2,767",172,125,47
5037.03,Santa Clara,"4,393",680,173,204,"1,141",0,"1,796",399,359,40
5037.07,Santa Clara,"5,543","1,255",236,40,"2,310",21,"1,150",531,397,134
5037.08,Santa Clara,"3,024",268,37,7,"2,220",33,236,223,118,105
5037.09,Santa Clara,"6,179",912,28,98,"4,056",24,"1,047",14,1,13
5037.1,Santa Clara,"3,455",686,16,44,"1,072",30,"1,163",444,338,106
5037.11,Santa Clara,"5,344","1,340",81,123,761,12,"2,444",583,487,96
5037.12,Santa Clara,"4,745",904,21,73,"1,809",0,"1,132",806,663,143
5037.13,Santa Clara,"3,352",386,58,137,"1,160",75,"1,149",387,379,8
5038.02,Santa Clara,"8,141","1,841",115,0,"3,044",61,"2,695",385,265,120
5038.03,Santa Clara,"5,174",753,88,0,"2,786",26,530,991,929,62
5038.04,Santa Clara,"5,209","1,559",32,0,"2,602",0,538,478,280,198
5039.02,Santa Clara,"6,088","1,675",29,27,"1,290",0,"2,227",840,628,212
5039.03,Santa Clara,"3,390",821,29,17,"1,399",0,912,212,192,20
5040.01,Santa Clara,"5,307","1,300",46,22,"1,068",0,"2,557",314,121,193
5040.02,Santa Clara,"7,203","1,526",88,343,"2,461",0,"2,440",345,253,92
5041.01,Santa Clara,"4,814","1,540",55,55,871,5,"1,979",309,168,141
5041.02,Santa Clara,"5,751","1,925",34,45,"1,105",0,"2,262",380,193,187
5042.01,Santa Clara,"5,534","2,888",229,191,"1,065",0,619,542,98,444
5042.02,Santa Clara,"4,040","2,004",89,101,"1,231",0,473,142,27,115
5043.07,Santa Clara,"5,840",758,82,0,"3,834",0,438,728,484,244
5043.08,Santa Clara,"4,637","1,545",54,1,"2,361",0,92,584,151,433
5043.11,Santa Clara,"7,547",724,5,0,"6,254",0,281,283,76,207
5043.14,Santa Clara,"4,978",984,143,13,"3,411",0,196,231,63,168
5043.15,Santa Clara,"7,097","1,379",36,11,"5,088",0,421,162,32,130
5043.16,Santa Clara,"5,513",843,18,0,"3,875",12,337,428,270,158
5043.17,Santa Clara,"4,100",503,11,3,"3,069",7,320,187,114,73
5043.18,Santa Clara,"6,840","1,497",124,25,"3,349",104,845,896,771,125
5043.19,Santa Clara,"6,799",799,256,35,"4,735",0,748,226,53,173
5043.2,Santa Clara,"3,002",669,0,0,"2,164",0,6,163,15,148
5043.21,Santa Clara,"5,766",850,90,0,"3,841",5,329,651,337,314
5043.22,Santa Clara,"6,058",886,413,0,"4,487",0,261,11,0,11
5043.23,Santa Clara,"6,191",786,52,20,"4,571",154,525,83,20,63
5044.1,Santa Clara,"4,593",823,133,9,"2,845",0,576,207,54,153
5044.11,Santa Clara,"6,097","1,185",84,10,"4,108",34,440,236,43,193
5044.12,Santa Clara,"4,956",751,18,0,"3,762",10,220,195,9,186
5044.13,Santa Clara,"1,969",393,19,0,"1,384",0,27,146,5,141
5044.14,Santa Clara,"4,547",593,14,39,"3,813",22,22,44,0,44
5044.15,Santa Clara,"4,922",833,410,8,"3,461",0,58,152,10,142
5044.16,Santa Clara,"3,827",978,290,0,"2,221",0,29,309,123,186
5044.18,Santa Clara,"3,817",564,172,66,"2,346",0,507,162,14,148
5044.21,Santa Clara,"5,707",547,537,12,"3,992",0,339,280,1,279
5044.22,Santa Clara,"3,259",298,74,0,"2,084",0,600,203,49,154
5044.23,Santa Clara,"2,149",557,110,0,959,21,389,113,11,102
5044.24,Santa Clara,"4,972",746,47,52,"3,526",0,172,429,203,226
5045.05,Santa Clara,"9,319","1,351",70,26,"6,903",0,344,625,183,442
5045.06,Santa Clara,"7,047",774,156,23,"4,786",34,474,800,367,433
5045.07,Santa Clara,"5,871","1,070",89,75,"3,495",0,812,330,139,191
5045.08,Santa Clara,"4,185",973,410,48,"1,299",23,798,634,322,312
5045.09,Santa Clara,"4,094",152,133,26,"3,730",0,9,44,44,0
5045.1,Santa Clara,"3,769",233,0,0,"2,871",1,425,239,33,206
5046.01,Santa Clara,"1,065",522,11,0,220,0,144,168,118,50
5046.02,Santa Clara,"2,257",539,49,38,322,0,"1,200",109,73,36
5047,Santa Clara,518,376,27,0,58,0,14,43,21,22
5048.02,Santa Clara,"5,165","1,612",84,32,"2,469",44,815,109,18,91
5048.05,Santa Clara,"7,249","3,518",148,0,"2,776",0,457,350,69,281
5048.06,Santa Clara,"2,972","1,022",13,10,"1,103",29,500,295,59,236
5048.07,Santa Clara,"5,640","1,106",47,0,"4,377",0,0,110,0,110
5048.08,Santa Clara,"2,023",651,164,3,363,0,807,35,0,35
5049.02,Santa Clara,"4,709","1,151",0,0,"3,076",0,321,161,0,161
5049.03,Santa Clara,"4,735","1,170",69,0,"2,768",0,429,299,37,262
5050.06,Santa Clara,"12,242","2,873",268,0,"8,787",0,120,194,48,146
5050.07,Santa Clara,"4,397","1,195",358,2,"1,693",10,824,315,209,106
5050.1,Santa Clara,"4,400",996,524,40,"2,163",0,309,368,159,209
5050.11,Santa Clara,"5,436","1,675",433,0,"3,118",0,184,26,13,13
5050.12,Santa Clara,"2,547",841,62,0,"1,466",0,0,178,45,133
5050.13,Santa Clara,"5,602","1,330",190,0,"3,694",0,206,182,101,81
5050.14,Santa Clara,"5,940","1,366",264,76,"3,289",0,466,479,45,434
5050.15,Santa Clara,"5,149","1,598",140,0,"1,863",244,"1,173",131,22,109
5051,Santa Clara,"4,093","1,281",160,1,"1,674",7,503,467,297,170
5052.02,Santa Clara,"6,998","2,832",141,56,"2,211",297,981,480,103,377
5052.03,Santa Clara,"5,909","3,828",133,32,"1,356",12,257,291,89,202
5053.01,Santa Clara,"4,548","1,648",148,26,"2,185",0,286,255,113,142
5053.02,Santa Clara,"4,345","1,464",177,0,"1,877",60,488,279,0,279
5053.03,Santa Clara,"6,414","2,153",121,0,"2,731",0,980,429,12,417
5053.04,Santa Clara,"3,559","1,291",83,15,"1,836",0,142,192,128,64
5053.05,Santa Clara,"5,831","2,615",14,0,"2,841",0,311,50,0,50
5054.01,Santa Clara,"6,799","2,004",199,76,"3,767",0,443,310,121,189
5054.02,Santa Clara,"2,992",982,9,88,"1,681",0,75,157,22,135
5054.03,Santa Clara,"8,775","2,631",33,0,"4,256",277,"1,087",491,0,491
5055,Santa Clara,"4,392","1,922",265,0,"1,347",0,334,524,106,418
5056,Santa Clara,"4,623","2,842",167,11,"1,201",7,157,238,37,201
5057,Santa Clara,"6,389","2,567",243,16,"1,968",0,713,882,191,691
5058,Santa Clara,"4,457","3,164",67,0,705,18,363,140,23,117
5059.01,Santa Clara,"3,668","2,042",37,0,"1,451",33,10,95,11,84
5059.02,Santa Clara,"3,789","2,499",80,0,884,28,139,159,30,129
5060,Santa Clara,"4,815","2,899",99,7,"1,434",0,182,194,57,137
5061.01,Santa Clara,"4,175","1,911",87,0,"1,687",11,155,324,169,155
5061.02,Santa Clara,"4,295","2,085",21,0,"1,771",16,85,317,123,194
5061.03,Santa Clara,"5,255","1,610",90,0,"3,244",0,100,211,56,155
5062.02,Santa Clara,"8,586","2,985",431,40,"4,078",0,321,731,47,684
5062.03,Santa Clara,"6,416","1,566",169,74,"4,222",0,228,157,49,108
5062.04,Santa Clara,"5,275","1,306",249,1,"3,239",0,262,218,48,170
5063.01,Santa Clara,"5,342","2,562",351,2,"1,590",0,217,620,183,437
5063.02,Santa Clara,"6,349","4,073",245,36,"1,520",0,337,138,0,138
5063.04,Santa Clara,"6,240","1,910",88,0,"2,604",271,"1,106",261,216,45
5063.05,Santa Clara,"6,599","2,753","1,249",34,"1,155",76,"1,234",98,0,98
5064.01,Santa Clara,"4,781","2,554",411,48,971,0,411,386,30,356
5064.02,Santa Clara,"5,714","3,724",287,0,780,40,371,512,326,186
5065.02,Santa Clara,"4,199","2,725",251,0,380,0,287,556,317,239
5065.03,Santa Clara,"6,066","3,509",183,0,"1,552",0,602,220,47,173
5065.04,Santa Clara,"2,856","1,183",282,0,603,0,718,70,40,30
5065.05,Santa Clara,"4,894","1,807",195,0,"1,297",0,"1,466",129,40,89
5066.01,Santa Clara,"4,122","1,831",109,0,"1,521",25,339,297,116,181
5066.03,Santa Clara,"4,277","2,229",74,13,997,258,97,609,232,377
5066.04,Santa Clara,"7,343","3,662",4,6,"3,302",27,127,215,0,215
5066.05,Santa Clara,"4,558","2,214",442,0,"1,068",0,450,384,62,322
5066.06,Santa Clara,"5,004","2,513",108,0,"1,493",0,184,706,411,295
5067.01,Santa Clara,"4,177","2,317",0,0,"1,601",0,15,244,60,184
5067.02,Santa Clara,"6,185","3,652",200,0,"1,529",0,580,224,35,189
5067.03,Santa Clara,"3,480","2,061",80,7,"1,009",2,43,278,35,243
5068.01,Santa Clara,"5,656","4,504",35,0,777,0,29,311,72,239
5068.02,Santa Clara,"5,897","3,418",51,33,"1,795",0,150,450,58,392
5068.03,Santa Clara,"7,146","4,219",201,0,"2,248",0,186,292,87,205
5068.04,Santa Clara,"4,459","2,920",26,12,"1,195",49,24,233,48,185
5069,Santa Clara,"7,720","5,733",144,0,"1,222",0,52,569,156,413
5070.02,Santa Clara,"3,429","2,949",15,0,357,0,4,104,0,104
5070.03,Santa Clara,"3,088","2,565",45,0,436,0,12,30,30,0
5070.04,Santa Clara,"3,459","2,836",0,0,432,0,31,160,0,160
5071,Santa Clara,"3,159","2,676",0,0,291,0,21,171,9,162
5072.03,Santa Clara,"3,062","2,051",16,125,627,0,46,197,47,150
5072.05,Santa Clara,"4,651","3,207",34,0,"1,086",0,49,275,24,251
5072.06,Santa Clara,"2,586","2,028",4,0,480,0,0,74,4,70
5073.01,Santa Clara,"6,883","3,498",2,34,"3,216",0,17,116,21,95
5073.02,Santa Clara,"2,846","1,680",12,4,867,0,41,242,4,238
5074.01,Santa Clara,"5,869","1,809",4,24,"3,802",0,41,189,1,188
5074.02,Santa Clara,"3,996","2,554",14,0,"1,135",0,18,275,42,233
5075,Santa Clara,"5,856","1,959",20,0,"3,773",0,0,104,30,74
5076,Santa Clara,"5,888","2,858",18,0,"2,686",0,38,288,0,288
5077.01,Santa Clara,"3,296",941,71,0,"2,225",0,11,48,24,24
5077.02,Santa Clara,"6,993",978,0,0,"5,651",116,0,248,20,228
5077.04,Santa Clara,"3,352","1,329",0,0,"1,839",18,14,152,0,152
5077.05,Santa Clara,"4,270","1,538",16,0,"2,526",5,52,133,12,121
5078.05,Santa Clara,"5,005","1,581",0,0,"3,152",0,17,255,17,238
5078.06,Santa Clara,"6,012",735,0,32,"5,093",0,0,152,43,109
5078.07,Santa Clara,"3,557",584,0,0,"2,780",21,81,91,0,91
5078.08,Santa Clara,"5,680","1,036",0,0,"4,443",16,0,185,0,185
5079.03,Santa Clara,"5,684",969,40,0,"4,584",0,0,91,0,91
5079.04,Santa Clara,"3,221",795,0,58,"2,270",0,19,79,11,68
