Census Tract,County,Total:,Total:!!White alone,Total:!!Black or African American alone,Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Some other race alone,Total:!!Two or more races:,Total:!!Two or more races:!!Two races including Some other race,"Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
4307,Alameda,"4,133","2,100",127,91,"1,250",0,83,482,180,302
4308,Alameda,"5,410","2,643",74,80,"1,824",52,82,655,314,341
4309,Alameda,"5,384","2,798",459,60,"1,048",29,197,793,438,355
4310,Alameda,"2,816","1,191",400,30,820,0,55,320,49,271
4311,Alameda,"3,447","1,777",634,7,456,41,348,184,38,146
4312,Alameda,"5,953","3,340",894,0,690,0,376,653,252,401
4321,Alameda,"3,584","1,571",748,0,597,90,302,276,127,149
4322,Alameda,"4,123","1,435",752,265,563,24,455,629,375,254
4323,Alameda,"4,764","1,726",560,10,"1,352",128,623,365,17,348
4324,Alameda,"6,983","3,167",438,57,"1,814",227,822,458,0,458
4325.01,Alameda,"4,850","1,677",283,17,"2,126",47,395,305,179,126
4325.02,Alameda,"5,221","1,251",639,3,"2,100",39,720,469,264,205
4326.01,Alameda,"3,957","1,449",643,24,984,39,673,145,0,145
4326.02,Alameda,"3,409",919,865,6,865,0,512,242,70,172
4327,Alameda,"2,839","1,927",125,20,486,12,149,120,65,55
4328,Alameda,"3,907","1,593",565,58,"1,196",28,154,313,190,123
4330,Alameda,"3,461","1,621",281,19,"1,054",8,234,244,100,144
4331.02,Alameda,"4,536","1,028",452,41,"2,370",20,227,398,34,364
4331.03,Alameda,"3,486","1,168",555,17,828,0,513,405,215,190
4331.04,Alameda,"4,044","1,524",747,92,616,0,510,555,151,404
4332,Alameda,"7,947","1,664",797,19,"2,982",29,"1,148","1,308",909,399
4333,Alameda,"8,071","2,497",112,45,"3,804",124,810,679,168,511
4334,Alameda,"6,084","1,284",442,85,"3,691",174,39,369,81,288
4335,Alameda,"4,671","1,499",111,0,"2,405",66,500,90,28,62
4336,Alameda,"5,966","1,923",389,142,"1,861",370,717,564,36,528
4337,Alameda,"3,180","1,095",158,12,587,191,851,286,190,96
4338.01,Alameda,"3,598","1,230",478,4,"1,144",0,693,49,41,8
4338.02,Alameda,"4,155",601,561,31,"2,045",0,546,371,0,371
4339,Alameda,"7,683","2,471","1,637",27,"1,072",76,"1,756",644,364,280
4340,Alameda,"5,073","2,132",596,14,"1,036",17,934,344,194,150
4351.02,Alameda,"6,391","2,545",835,48,"1,430",19,780,734,27,707
4351.03,Alameda,"7,621","3,030",660,0,"2,949",8,85,889,170,719
4351.04,Alameda,"5,984","1,329",723,134,"2,148",30,"1,194",426,58,368
4352,Alameda,"4,916","1,663",946,12,"1,237",6,471,581,117,464
4353,Alameda,"4,943","1,772","1,108",6,803,178,637,439,84,355
4354,Alameda,"4,584","1,734",890,14,868,111,551,416,113,303
4355,Alameda,"4,192","1,846",557,58,316,109,"1,115",191,68,123
4356.01,Alameda,"5,346","1,793",756,22,837,124,"1,579",235,154,81
4356.02,Alameda,"5,311","2,473",516,53,416,14,"1,237",602,436,166
4357,Alameda,"5,209","2,146",479,19,701,200,"1,061",603,113,490
4358,Alameda,"5,437","2,107",299,32,"1,557",10,"1,087",345,153,192
4359,Alameda,"5,430","2,489",223,0,"2,080",58,355,225,38,187
4360,Alameda,"5,194","2,863",39,130,"1,308",3,379,472,140,332
4361,Alameda,"6,187","2,566",279,32,"1,989",236,827,258,54,204
4362,Alameda,"4,208","1,337",851,7,466,39,"1,212",296,285,11
4363.01,Alameda,"5,449","1,462",694,0,"1,138",18,"1,319",818,618,200
4363.02,Alameda,"3,957","1,765",262,0,873,14,988,55,0,55
4364.02,Alameda,"2,711","1,264",515,10,543,0,120,259,30,229
4364.03,Alameda,"4,290","1,632",660,0,910,28,580,480,37,443
4364.04,Alameda,"3,126","1,524",368,0,733,0,347,154,43,111
4365,Alameda,"5,246","1,754",718,39,956,215,"1,115",449,200,249
4366.01,Alameda,"6,649","2,180",555,18,"1,131",0,"1,575","1,190",512,678
4366.02,Alameda,"4,765","1,249",620,0,"1,033",75,976,812,296,516
4367,Alameda,"3,351","1,540",335,14,571,14,578,299,87,212
4368,Alameda,"4,042",820,461,81,949,92,"1,242",397,179,218
4369,Alameda,"6,642","3,042",353,4,"1,024",95,"1,427",697,545,152
4370,Alameda,"3,535","1,240",239,6,"1,054",150,532,314,224,90
4371.01,Alameda,"7,516","1,592",544,106,"3,057",370,"1,270",577,302,275
4371.02,Alameda,"4,481",850,453,23,"1,500",51,845,759,180,579
4372,Alameda,"8,008","1,909",603,146,"3,469",135,798,948,420,528
4373,Alameda,"3,091",784,401,12,"1,072",52,639,131,24,107
4374,Alameda,"3,362","1,060",137,131,794,85,690,465,316,149
4375,Alameda,"4,478","1,601",90,0,787,231,"1,447",322,167,155
4376,Alameda,"3,488",960,231,22,"1,410",69,596,200,118,82
4377.01,Alameda,"3,773","1,327",438,21,857,20,"1,004",106,35,71
4377.02,Alameda,"3,930","1,082",334,11,375,75,"1,493",560,409,151
4378,Alameda,"5,150","1,562",514,71,"1,573",150,904,376,214,162
4379,Alameda,"2,345",551,207,83,489,189,736,90,37,53
4380,Alameda,"3,938","1,140",425,8,"1,539",24,696,106,41,65
4381,Alameda,"8,447","1,979",496,103,"3,335",37,"1,873",624,274,350
4382.01,Alameda,"4,968","1,070",370,78,"1,020",200,"1,759",471,107,364
4382.03,Alameda,"4,029",837,142,19,"2,101",187,605,138,72,66
4382.04,Alameda,"5,976","1,335",267,93,"2,109",105,"1,250",817,378,439
4383,Alameda,"3,605",752,328,0,"1,376",276,575,298,199,99
4384,Alameda,"2,666",666,235,3,"1,210",21,454,77,14,63
4401,Alameda,"2,753","1,247",87,22,804,21,268,304,111,193
